Slice,SampleID,Final_area
20210613_HS_AEGTumor_BUQLH2128_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0007A_T1_X1_D1_a1,6845973
20210613_HS_AEGTumor_BUQLH2128_s0_a5_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0007A_T1_X1_D1_a5,1965990
20210626_HS_AEGTumors_BUIFF2126_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0007B_T1_X1_D1_a1,6033515
20210627_HS_AEGTumors_BUZLL2146_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009A_T1_X1_D1_a1,5759222
20210627_HS_AEGTumors_BUZLL2146_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009A_T1_X1_D1_a2,3986904
20210627_HS_AEGTumors_AEG_BUPSS2152_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009B_T1_X1_D1_a1,2456878
20210627_HS_AEGTumors_AEG_BUPSS2152_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009B_T1_X1_D1_a2,2397612
20210711_HS_AEGTumors_BUGOF4500_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a1,2343872
20210711_HS_AEGTumors_BUGOF4500_s0_a2_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0009C_T1_X1_D1_a2,4379145
20210627_HS_AEGTumors_BUJVR4498_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0010A_T1_X1_D1_a1,3849042
20210627_HS_AEGTumors_BUZGT4503_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0010B_T3_X1_D1_a1,7101874
20210718_HS_AEGTumors_BUBBC4523_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0010C_T2_X1_D1_a1,8770150
20210704_HS_AEGTumors_BUXVC4532_s0_a1_ac_ilastik_s2_Probabilities_NucCyto.tiff,MEMORI_NE0012A_T1_X1_D1_a1,5712733
